"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","118","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","countsOnlyThisTestsOrders"
"","10","refundedBuilderCreatesRefundedOrder_fail()","","2026-07-10","failed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","refundedBuilderCreatesRefundedOrder_fail"
"","70","flywaySeedsReferenceDataButNoOrders_fail()","","2026-07-10","failed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders_fail"
"","67","factoryPersistsBuilderData()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","factoryPersistsBuilderData"
"","2","builderStatesOnlyWhatTestCaresAbout()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
"","95","resetMakesTestsIndependent()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","resetMakesTestsIndependent"
"","2","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","71","flywaySeedsReferenceDataButNoOrders()","","2026-07-10","passed","2026-07-10","","data.OrdersDataIT","data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
"","2","refundedBuilderCreatesRefundedOrder()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"","39","builderUsesSensibleDefaults()","","2026-07-10","passed","2026-07-10","","data.BuilderStructureTest","data.BuilderStructureTest","builderUsesSensibleDefaults"
